doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_median,tmin_C_7d_median,precip_mm_7d_median,rh_max_pct_7d_median,rh_min_pct_7d_median,solar_MJ_m2_7d_median,tmax_C_30d_median,tmin_C_30d_median,precip_mm_30d_median,rh_max_pct_30d_median,rh_min_pct_30d_median,solar_MJ_m2_30d_median
59,37.7,25.5,0.0,62.0,21.0,22.12,37.91428571428571,25.342857142857145,0.0,65.28571428571429,20.285714285714285,22.67428571428572,37.91,24.976666666666667,0.0,56.46666666666667,18.033333333333335,22.843333333333337
60,38.0,25.9,0.0,68.0,21.0,22.82,37.98571428571428,25.58571428571429,0.0,65.85714285714286,21.0,22.70428571428571,37.923333333333325,25.08,0.0,57.833333333333336,18.533333333333335,22.846999999999998
61,37.8,26.1,0.0,67.0,22.0,22.69,38.08571428571429,25.814285714285713,0.0,66.14285714285714,21.285714285714285,22.735714285714288,37.96333333333333,25.206666666666667,0.0,59.3,19.066666666666666,22.879
62,38.4,25.8,0.0,66.0,18.0,22.56,38.199999999999996,26.057142857142857,0.0,66.28571428571429,21.285714285714285,22.75857142857143,37.983333333333334,25.313333333333333,0.0,60.8,19.6,22.869333333333334
63,38.4,25.9,0.0,67.0,22.0,23.31,38.31428571428571,26.242857142857144,0.0,67.14285714285714,21.428571428571427,22.892857142857142,38.016666666666666,25.406666666666663,0.0,62.2,20.066666666666666,22.862000000000002
64,38.5,26.4,0.0,68.0,23.0,22.98,38.385714285714286,26.400000000000002,0.0,66.85714285714286,21.428571428571427,22.904285714285717,38.04666666666666,25.540000000000003,0.0,63.06666666666667,20.566666666666666,22.868333333333332
65,38.6,26.8,0.0,66.0,22.0,22.83,38.457142857142856,26.485714285714288,0.0,67.14285714285714,21.714285714285715,22.96428571428571,38.056666666666665,25.66,0.0,63.63333333333333,20.9,22.884
66,38.5,26.8,0.0,68.0,22.0,23.06,38.371428571428574,26.52857142857143,0.0,68.14285714285714,22.714285714285715,22.947142857142858,38.07666666666667,25.736666666666668,0.0,64.13333333333334,21.333333333333332,22.916999999999998
67,38.5,27.0,0.0,66.0,21.0,22.9,38.31428571428571,26.599999999999998,0.0,68.42857142857143,23.0,22.85857142857143,38.08666666666667,25.823333333333334,0.0,65.23333333333333,21.866666666666667,22.912
68,38.3,26.7,0.0,69.0,24.0,23.11,38.24285714285714,26.62857142857143,0.0,68.28571428571429,23.285714285714285,22.84,38.086666666666666,25.923333333333336,0.0,65.93333333333334,22.466666666666665,22.894000000000002
69,37.8,26.1,0.0,73.0,25.0,22.44,38.128571428571426,26.585714285714285,0.0,68.57142857142857,24.0,22.80857142857143,38.086666666666666,26.003333333333334,0.0,67.06666666666666,23.1,22.876666666666665
70,38.0,26.4,0.0,69.0,24.0,22.69,38.05714285714286,26.442857142857143,0.0,69.14285714285714,24.571428571428573,22.82,38.086666666666666,26.076666666666668,0.0,68.23333333333333,23.666666666666668,22.87633333333333
71,38.0,26.6,0.0,67.0,25.0,22.85,37.957142857142856,26.357142857142858,0.0,70.14285714285714,25.285714285714285,22.824285714285715,38.09,26.19,0.0,69.26666666666667,24.1,22.871333333333336
72,37.8,26.5,0.0,68.0,27.0,22.61,37.98571428571428,26.3,0.0,70.71428571428571,25.428571428571427,22.87,38.10666666666666,26.276666666666664,0.0,69.56666666666666,24.366666666666667,22.893333333333334
73,38.0,25.8,0.0,72.0,26.0,23.14,38.01428571428571,26.357142857142858,0.0,70.14285714285714,25.428571428571427,22.881428571428568,38.126666666666665,26.333333333333332,0.0,69.76666666666667,24.566666666666666,22.932666666666666
74,37.8,26.4,0.0,73.0,26.0,22.93,38.04285714285714,26.342857142857145,0.0,70.42857142857143,25.428571428571427,22.878571428571426,38.15,26.396666666666665,0.0,69.93333333333334,24.766666666666666,22.957666666666668
