date,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,doy,p7_mm,p30_mm,dry_day,dry_streak_days,cdd_30_max,heat_day_35C,heat_7_count,heat_30_count,precip_clim_daily_mean_mm,p7_clim_mm,p30_clim_mm,p30_pct_of_normal,p30_anom_pct,p7_pct_of_normal,p7_anom_pct
2025-10-06,30.2,22.5,8.5,98,62,18.95,279,46.59999999999998,327.8,False,0,3.0,False,0,0,3.6225806451612894,27.40967741935484,160.1193548387097,204.722283778966,1.0472228377959052,170.01294573935454,0.7001294574300286
2025-10-07,30.0,23.4,13.4,98,71,19.03,280,57.99999999999998,331.20000000000005,False,0,3.0,False,0,0,6.203225806451614,30.219354838709677,159.62580645161293,207.4852477555509,1.0748524775617734,191.92997437451976,0.9192997437782889
2025-10-08,29.7,22.8,8.7,98,68,12.78,281,55.399999999999984,338.70000000000005,False,0,3.0,False,0,0,4.506451612903225,30.019354838709674,155.4,217.95366795226548,1.1795366795290896,184.5476036903922,0.8454760369372339
2025-10-09,31.3,22.4,0.0,98,54,22.06,282,55.19999999999998,326.8,True,2,3.0,False,0,0,2.519354838709677,27.970967741935485,150.0903225806452,217.73555708245573,1.17735557083122,197.34748009904527,0.9734748010262041
2025-10-10,31.8,23.0,9.8,97,62,22.42,283,64.89999999999999,334.8,False,0,3.0,False,0,0,3.1516129032258067,27.619354838709675,147.20322580645163,227.4406679361316,1.2744066793681093,234.98014481746742,1.3498014482108807
2025-10-11,28.9,21.5,11.8,97,65,18.21,284,70.89999999999998,344.2,False,0,3.0,False,0,0,3.980645161290323,28.206451612903226,146.23870967741937,235.36859751901522,1.35368597519699,251.36093320243336,1.5136093320597868
2025-10-12,29.5,23.1,0.6,98,70,15.33,285,52.79999999999999,322.0,True,2,3.0,False,0,0,2.825806451612904,26.80967741935484,139.96774193548384,230.0530076037955,1.3005300760450993,196.94380940187065,0.9694380940560064
2025-10-13,31.5,23.5,11.8,97,61,21.79,286,56.09999999999999,235.4,False,0,3.0,False,0,0,2.55483870967742,25.74193548387097,134.1774193548387,175.43935569048242,0.7543935569122768,217.93233081860154,1.1793233082248626
2025-10-14,31.1,23.5,0.9,98,63,20.3,287,43.59999999999999,234.20000000000002,True,2,3.0,False,0,0,1.783870967741935,21.322580645161292,131.1709677419355,178.5456065697231,0.7854560657048547,204.47806353050098,1.0447806353519082
2025-10-15,32.0,24.0,2.6,98,60,21.73,288,37.499999999999986,233.4,False,0,3.0,False,0,0,2.648387096774193,19.464516129032262,128.6709677419355,181.3929001189272,0.8139290011970437,192.65826979454346,0.9265826979968101
